,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Constitucion,CL,58.46,few clouds,-35.3333,-72.4167,Hostal Alameda
644,Impfondo,CG,70.03,clear sky,1.6381,18.0667,Tropicana
654,Salinopolis,BR,79.68,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
655,Machiques,VE,72.55,few clouds,10.0644,-72.545,Hotel Paramaconí
656,Komatipoort,ZA,69.04,clear sky,-25.4332,31.9548,Ecolux Boutique Hotel
657,Kedougou,SN,77.41,clear sky,12.5579,-12.1743,Campement Chez Diao
659,Barra Do Garcas,BR,73.96,overcast clouds,-15.89,-52.2567,Pousada Portal
661,Inhambane,MZ,74.48,broken clouds,-23.865,35.3833,Hotel de Inhambane
662,Ambilobe,MG,73.44,few clouds,-13.2,49.05,Hôtel National
667,Lushoto,TZ,57.34,clear sky,-4.7833,38.2833,triple tvelve hotel and restaurant
668,Kalemie,CD,67.1,overcast clouds,-5.9475,29.1947,Hotel du Lac
669,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,فندق أدرار
670,Ondjiva,AO,71.19,overcast clouds,-17.0667,15.7333,Águia Verde Hotel
676,Mecca,SA,72.23,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
680,Chalus,IR,51.49,light rain,36.655,51.4204,هتل ملک
682,Mogadishu,SO,79.68,overcast clouds,2.0371,45.3438,SYL Hotel
688,Jeremie,HT,76.48,scattered clouds,18.65,-74.1167,Delivrance Hotel
689,Porto Santo,PT,64.78,scattered clouds,33.072,-16.3415,Praia Dourada
692,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
697,Ayorou,NE,69.19,clear sky,14.7308,0.9174,Hotel Aminokal
698,Ciudad Bolivar,VE,78.4,overcast clouds,8.1222,-63.5497,Paoca
700,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Horisun
701,Bandar-E Lengeh,IR,69.39,clear sky,26.5579,54.8807,Old owner do not like foreigners hotel
